id,sentence,claims,focus,coverage,redundance,model,user,cross_focus,cross_coverage,cross_users
792,2474,"Maurice Harold Macmillan was a British Conservative politician.
Maurice Harold Macmillan was a statesman.
Maurice Harold Macmillan served as the Prime Minister of the United Kingdom.
Maurice Harold Macmillan's term as Prime Minister began on 10 January 1957.
Maurice Harold Macmillan's term as Prime Minister ended on 19 October 1963.
Maurice Harold Macmillan was nicknamed 'Supermac'.
Maurice Harold Macmillan was known for his pragmatism.
Maurice Harold Macmillan was known for his wit.
Maurice Harold Macmillan was known for his unflappability.",,,,gpt-4-turbo-3-shot,,,,
793,2905,"The inhabitants of Seville are known as sevillanos.
The inhabitants of Seville are known as sevillanas.
The inhabitants of Seville are known as hispalenses.
Seville was known as Hispalis during the Roman period.
Seville has a municipal population of about 703,000.
Seville has a metropolitan population of about 1.5 million.
Seville is the fourth-largest city in Spain.
Seville is the 30th most populous municipality in the European Union.
Seville's Old Town has an area of 4 square kilometers.
Seville's Old Town contains three UNESCO World Heritage Sites.
The Alcázar palace complex is a UNESCO World Heritage Site in Seville.
The Cathedral is a UNESCO World Heritage Site in Seville.
The General Archive of the Indies is a UNESCO World Heritage Site in Seville.",,,,gpt-4-turbo-3-shot,,,,
794,1416,"Tiger Woods won the Arnold Palmer Invitational on March 25, 2013.
Tiger Woods was ranked No. 1 in golf after winning the Arnold Palmer Invitational in 2013.
Tiger Woods held the No. 1 golf ranking until May 2014.
Tiger Woods had back surgery in April 2014.
Tiger Woods had back surgery in September 2015.
Tiger Woods has struggled to regain his dominant form after back surgeries.
Tiger Woods fell to the 104th golf ranking by March 29, 2015.
Tiger Woods was outside of the top 100 golf rankings for the first time since 1996 by March 29, 2015.",,,,gpt-4-turbo-3-shot,,,,
795,6419,"French Indochina was previously spelled as French Indo-China.
French Indochina is also known as Indochine française.
French Indochina is abbreviated to Đông Pháp in Vietnamese.
French Indochina was officially known as the Indochinese Union after 1887.
French Indochina was officially known as the Indochinese Federation after 1947.
French Indochina was a grouping of French colonial territories in Southeast Asia.
French Indochina included the three Vietnamese regions of Tonkin, Annam, and Cochinchina.
French Indochina included Cambodia.
Tonkin, Annam, and Cochinchina were grouped with Cambodia in 1887.",,,,gpt-4-turbo-3-shot,,,,
796,4458,"Tennis is a racket sport.
Tennis can be played individually against one opponent.
Tennis can be played between two teams of two players each.
Tennis players use a racket strung with cord.
Tennis involves striking a hollow rubber ball.
The ball in tennis is covered with felt.
Tennis is played over or around a net.
Tennis is played into the opponent's court.",,,,gpt-4-turbo-3-shot,,,,
797,2903,"Hulk was filmed primarily in the San Francisco Bay Area.
Hulk was filmed mostly in California.
Hulk grossed over $245 million worldwide.
Hulk had a budget of $137 million.
Hulk was a commercial success.
Hulk received mixed reactions from critics.
The writing in Hulk was praised.
The acting in Hulk was praised.
The character development in Hulk was praised.
The action sequences in Hulk were praised.
Danny Elfman composed the musical score for Hulk.
Some criticized Hulk for its outdated CGI.
Some criticized Hulk for its editing.
Some criticized Hulk for its dark story elements.",,,,gpt-4-turbo-3-shot,,,,
798,3641,"Insurgent was released in IMAX 3D.
Insurgent is part of The Divergent Series.
The Divergent Series: Allegiant was released in 2016.
The Divergent Series: Allegiant grossed $179 million.
The first three films of The Divergent Series grossed over $765 million worldwide.",,,,gpt-4-turbo-3-shot,,,,
799,6174,"Michelin Guides are published by the French company Michelin.
Michelin Guides have been published for over a century.
The Michelin Red Guide is an annually published guide.
The Michelin Red Guide is a European hotel and restaurant reference guide.
Michelin stars are awarded for excellence to some establishments by the Michelin Red Guide.",,,,gpt-4-turbo-3-shot,,,,
800,4746,"The Weeknd's real name is Abel Makkonen Tesfaye.
The Weeknd was born on February 16, 1990.
The Weeknd is a Canadian singer.
The Weeknd is a songwriter.
The Weeknd is a record producer.
The Weeknd gained recognition after uploading songs to YouTube in 2010.
The Weeknd uploaded songs to YouTube anonymously.",,,,gpt-4-turbo-3-shot,,,,
801,4163,"Diego Costa returned to Atlético Madrid for a season.
Diego Costa scored 27 goals in the season Atlético Madrid won the league title in 2014.
Diego Costa joined Chelsea for a transfer fee of 32 million pounds.
Diego Costa scored 21 goals in his first season with Chelsea.
Diego Costa won the Premier League with Chelsea.
Diego Costa won the League Cup with Chelsea.
Diego Costa played for Brazil in 2013.
Diego Costa declared his desire to represent Spain internationally.
Diego Costa was granted Spanish citizenship in September 2013.",,,,gpt-4-turbo-3-shot,,,,
802,4950,"Alessia Caracciolo is professionally known as Alessia Cara.
Alessia Cara is a Canadian singer.
Alessia Cara is a songwriter.
Alessia Cara is signed to EP Entertainment.
Alessia Cara is signed to Def Jam Recordings.
Alessia Cara released her debut single 'Here'.
Alessia Cara's debut single 'Here' is from her debut studio album Know-It-All.
Alessia Cara's debut studio album Know-It-All was released on November 13, 2015.",,,,gpt-4-turbo-3-shot,,,,
803,1288,"Just My Luck is a romantic comedy film.
Just My Luck was released in 2006.
Donald Petrie directed Just My Luck.
I. Marlene King wrote Just My Luck.
Amy B. Harris wrote Just My Luck.
Lindsay Lohan stars in Just My Luck.
Chris Pine stars in Just My Luck.
Lindsay Lohan's character in Just My Luck is named Ashley.
Ashley is portrayed as the luckiest girl in Manhattan, New York in Just My Luck.",,,,gpt-4-turbo-3-shot,,,,
804,1805,"Tokyo ranked first in the Global Economic Power Index.
Tokyo ranked fourth in the Global Cities Index.
Tokyo is considered an alpha + world city.
The GaWC's 2008 inventory listed Tokyo as an alpha + world city.
In 2014, Tokyo ranked first in the 'Best overall experience' category of TripAdvisor's World City Survey.
Tokyo ranked first for 'helpfulness of locals' according to TripAdvisor's World City Survey.
Tokyo ranked first for 'nightlife' according to TripAdvisor's World City Survey.
Tokyo ranked first for 'shopping' according to TripAdvisor's World City Survey.
Tokyo ranked first for 'local public transportation' according to TripAdvisor's World City Survey.
Tokyo ranked first for 'cleanliness of streets' according to TripAdvisor's World City Survey.
In 2015, Tokyo was ranked as the 11th most expensive city for expatriates by the Mercer consulting firm.
In 2015, Tokyo was ranked as the world's 11th most expensive city by the Economist Intelligence Unit's cost-of-living survey.
Tokyo was named the Most Liveable City in the world by Monocle magazine.
The Michelin Guide awarded Tokyo the most Michelin stars of any city in the world.",,,,gpt-4-turbo-3-shot,,,,
805,5620,"Puerto Rico is officially known as the Commonwealth of Puerto Rico.
Puerto Rico is an unincorporated territory of the United States.
Puerto Rico is located in the northeast Caribbean Sea.
Puerto Rico is an archipelago.
Puerto Rico includes the main island of Puerto Rico.
Puerto Rico includes smaller islands such as Mona.
Puerto Rico includes Culebra island.
Puerto Rico includes Vieques island.
Puerto Rico was briefly called Porto Rico.",,,,gpt-4-turbo-3-shot,,,,
806,5414,"Salman Khan topped Forbes India charts in 2014.
Salman Khan was the highest ranked Indian on the Forbes 2015 list of 'Celebrity 100: The World's Top-Paid Entertainers'.
Salman Khan ranked 71st on the Forbes 2015 list.
Salman Khan's earnings were $33.5 million in 2015 according to Forbes.
Salman Khan is a stage performer.
Salman Khan is an actor.
Salman Khan is an active humanitarian.
Salman Khan has a charity non-profit organisation called Being Human.",,,,gpt-4-turbo-3-shot,,,,
807,2546,"Felicity Jones appeared in The Chalk Garden at the Donmar Warehouse in 2008.
Felicity Jones has appeared in films since 2006.
Felicity Jones was in Northanger Abbey in 2007.
Felicity Jones was in Brideshead Revisited in 2008.
Felicity Jones was in Chéri in 2009.
Felicity Jones was in The Tempest in 2010.
Felicity Jones's performance in Like Crazy was critically acclaimed.
Felicity Jones received a special jury prize at the 2011 Sundance Film Festival for Like Crazy.",,,,gpt-4-turbo-3-shot,,,,
808,1964,"An inquisitorial court examined Joan of Arc's trial in 1456.
Pope Callixtus III authorized the court that examined Joan of Arc's trial.
The court debunked the charges against Joan of Arc.
Joan of Arc was pronounced innocent by an inquisitorial court.
Joan of Arc was declared a martyr in 1456.
Joan of Arc became a symbol of the Catholic League in the 16th century.
Napoleon Bonaparte declared Joan of Arc a national symbol of France in 1803.
Joan of Arc was beatified in 1909.
Joan of Arc was canonized in 1920.",,,,gpt-4-turbo-3-shot,,,,
809,5429,"Spider-Man joined the Avengers in the 2010s.
Doctor Octopus assumed the identity of Spider-Man between 2012 and 2014.
Peter Parker was involved in a body swap plot with Doctor Octopus.
Peter Parker appears to die in a story arc.
Marvel published Spider-Man 2099 featuring Miguel O'Hara.
Spider-Man 2099 is set in the future.
Marvel published Ultimate Spider-Man featuring a teenaged Peter Parker.
Ultimate Spider-Man is set in an alternate universe.
Marvel published Ultimate Comics Spider-Man featuring Miles Morales.
Miles Morales becomes Spider-Man after Ultimate Peter Parker's supposed death.",,,,gpt-4-turbo-3-shot,,,,
810,359,"Greyson Michael Chance was born on August 16, 1997.
Greyson Chance is an American singer.
Greyson Chance is a songwriter.
Greyson Chance is a pianist.
Greyson Chance performed 'Paparazzi' by Lady Gaga in April 2010.
Greyson Chance's performance took place at a sixth-grade music festival.
Greyson Chance's performance of 'Paparazzi' went viral on YouTube.
Greyson Chance's YouTube video of 'Paparazzi' had over 59 million views as of May 2017.
Greyson Chance appeared on The Ellen DeGeneres Show after his viral performance.",,,,gpt-4-turbo-3-shot,,,,
811,3349,"Nosedive is an episode of Black Mirror.
Nosedive is the first episode of the third series of Black Mirror.
Black Mirror is a British science fiction anthology series.
Michael Schur and Rashida Jones wrote the teleplay for Nosedive.
Charlie Brooker created the story for Nosedive.
Joe Wright directed the episode Nosedive.
Charlie Brooker is the creator and showrunner of Black Mirror.",,,,gpt-4-turbo-3-shot,,,,
812,3974,"Hotel Transylvania is a 3D computer-animated film.
Hotel Transylvania was released in 2012.
Hotel Transylvania is an American film.
Hotel Transylvania is a fantasy comedy film.
Sony Pictures Animation produced Hotel Transylvania.
Columbia Pictures was involved in the production of Hotel Transylvania.
Genndy Tartakovsky directed Hotel Transylvania.
Michelle Murdocca produced Hotel Transylvania.
Adam Sandler provided a voice in Hotel Transylvania.
Andy Samberg provided a voice in Hotel Transylvania.
Selena Gomez provided a voice in Hotel Transylvania.
Kevin James provided a voice in Hotel Transylvania.
Fran Drescher provided a voice in Hotel Transylvania.
Steve Buscemi provided a voice in Hotel Transylvania.
Molly Shannon provided a voice in Hotel Transylvania.
David Spade provided a voice in Hotel Transylvania.
CeeLo Green provided a voice in Hotel Transylvania.",,,,gpt-4-turbo-3-shot,,,,
813,341,"Oscar Palmer Robertson was born on November 24, 1938.
Oscar Robertson is nicknamed 'The Big O'.
Oscar Robertson is an American former professional basketball player.
Oscar Robertson played in the National Basketball Association.
Oscar Robertson played for the Cincinnati Royals.
Oscar Robertson played for the Milwaukee Bucks.
Oscar Robertson played as a point guard.
Oscar Robertson is 6 feet tall.
Oscar Robertson weighs 205 pounds.
Oscar Robertson was a 12-time All-Star.
Oscar Robertson was an 11-time member of the All-NBA Team.
Oscar Robertson won the MVP award once.
Oscar Robertson's professional career spanned 14 seasons.",,,,gpt-4-turbo-3-shot,,,,
814,521,"The Good Wife received acclaim for its insight on social media.
The Good Wife received acclaim for its insight on the internet in society.
The Good Wife received acclaim for its insight on politics.
The Good Wife received acclaim for its insight on law.
The Good Wife is considered network television's last great drama.
The Good Wife produced a full 22 episode season.
Other acclaimed shows favor shorter seasons of 6 - 12 episodes.
CBS announced The Good Wife was ending with its seventh season.
The Good Wife's ending was announced during Super Bowl 50.
The Good Wife's ending was announced on February 7, 2016.",0000010000,1111,0000000000,gpt-4-turbo-3-shot,356,0000010000,1111,356
815,1871,"The New York Giants are a professional American football team.
The New York Giants are based in the New York metropolitan area.
The New York Giants compete in the National Football League.
The New York Giants are a member club of the NFC East division.",,,,gpt-4-turbo-3-shot,,,,
816,6078,"Matt Kuchar experienced success in the early 2000s.
Matt Kuchar suffered a slump after his early success.
Matt Kuchar struggled to maintain his playing status on the PGA Tour.
Matt Kuchar rebuilt his swing from 2008 onward.
Matt Kuchar developed a new, one-plane swing.
Matt Kuchar's results improved after rebuilding his swing.
Matt Kuchar was the leading money winner on the PGA Tour in 2010.",,,,gpt-4-turbo-3-shot,,,,
817,1575,"Juana la Virgen is a Venezuelan telenovela.
Juana la Virgen was released in 2002.
Juana la Virgen was written by Perla Farias.
Juana la Virgen was produced by RCTV.
RCTV International distributed Juana la Virgen worldwide.",,,,gpt-4-turbo-3-shot,,,,
818,1801,"Somali is spoken by Somalis in Greater Somalia.
Somali is spoken by the Somali diaspora.
Somali is an official language of Somalia.
Somali is an official language of Somaliland.
Somali is a national language in Djibouti.
Somali is a working language in the Somali Region of Ethiopia.
Somali is used as an adoptive language by neighboring ethnic minority groups.
Somali is used as an adoptive language by individuals.",00100000,1,00000000,gpt-4-turbo-3-shot,356,00100000,1,356
819,4499,"Eva Green is a French actress.
Eva Green is a model.
Eva Green was born on 6 July 1980.
Eva Green started her career in theatre.
Eva Green made her film debut in 2003.
Eva Green appeared in Bernardo Bertolucci's film The Dreamers.
Eva Green achieved international recognition for her role as Sibylla, Queen of Jerusalem.
Eva Green appeared in Ridley Scott's historical epic Kingdom of Heaven (2005).
Eva Green portrayed Bond girl Vesper Lynd in the James Bond film Casino Royale (2006).",,,,gpt-4-turbo-3-shot,,,,
820,119,"Brock Lesnar signed with the Ultimate Fighting Championship in October.
Brock Lesnar lost his UFC debut against Frank Mir.
Brock Lesnar won his second UFC fight against Heath Herring.
Brock Lesnar defeated Randy Couture in November 2008.
Brock Lesnar became the UFC Heavyweight Champion in November 2008.",,,,gpt-4-turbo-3-shot,,,,
821,3740,"Princess Agents is a Chinese television series.
Princess Agents was released in 2017.
Princess Agents is based on a novel.
The novel Princess Agents is based on is titled 11 Chu Te Gong Huang Fei.
Xiao Xiang Dong Er wrote the novel 11 Chu Te Gong Huang Fei.
Zanilia Zhao stars in Princess Agents.
Lin Gengxin stars in Princess Agents.
Shawn Dou stars in Princess Agents.",,,,gpt-4-turbo-3-shot,,,,
822,5960,"Gilmore Girls was placed number 32 on Entertainment Weekly's 'New TV Classics' list.
Gilmore Girls was listed on Time magazine's 'All-TIME 100 TV Shows' in 2007.
The main cast of Gilmore Girls returned for a miniseries in 2016.
The miniseries revival of Gilmore Girls is titled 'Gilmore Girls: A Year in the Life'.
Gilmore Girls: A Year in the Life streamed on Netflix.",,,,gpt-4-turbo-3-shot,,,,
823,5436,"Diego da Silva Costa is a professional footballer.
Diego da Silva Costa plays as a striker.
Diego da Silva Costa plays for the English club Chelsea.
Diego da Silva Costa plays for the Spain national team.
Diego da Silva Costa was born on 7 October 1988.
Diego da Silva Costa is known for his physicality.
Diego da Silva Costa is known for his goalscoring.
Diego da Silva Costa is known for his ability to keep possession.",,,,gpt-4-turbo-3-shot,,,,
824,5615,"Lithuania is bordered by Latvia to the north.
Lithuania is bordered by Belarus to the east and south.
Lithuania is bordered by Poland to the south.
Lithuania is bordered by Kaliningrad Oblast to the southwest.
Kaliningrad Oblast is a Russian exclave.
Lithuania has an estimated population of 2.8 million people.
Vilnius is the capital of Lithuania.
Vilnius is the largest city in Lithuania.
Lithuanians are a Baltic people.",,,,gpt-4-turbo-3-shot,,,,
825,4105,"A View to a Kill was produced by Albert R. Broccoli.
A View to a Kill was produced by Michael G. Wilson.
Michael G. Wilson co-wrote the screenplay for A View to a Kill.
Richard Maibaum co-wrote the screenplay for A View to a Kill.
John Glen directed A View to a Kill.
A View to a Kill is a James Bond film.
Lois Maxwell's last appearance as Miss Moneypenny was in A View to a Kill.
A View to a Kill received mixed to negative reviews from critics.
A View to a Kill was a commercial success.
Duran Duran performed the theme song for A View to a Kill.
The theme song for A View to a Kill was nominated for a Golden Globe for Best Song.",,,,gpt-4-turbo-3-shot,,,,
826,4629,"Anaheim is a city in Orange County, California.
Anaheim is part of the Los Angeles metropolitan area.
Anaheim had a population of 336,265 according to the 2010 United States Census.
Anaheim is the most populous city in Orange County.
Anaheim is the 10th most populous city in California.
Anaheim is the second largest city in Orange County in terms of land area.
Irvine is the largest city in Orange County in terms of land area.
Anaheim is known for its theme parks.
Anaheim is known for the Anaheim Convention Center.
Anaheim has a major sports team called the Anaheim Ducks.
The Anaheim Ducks is an ice hockey club.
Anaheim has a major sports team called the Angels.
The Angels is a baseball team.",,,,gpt-4-turbo-3-shot,,,,
827,779,"San Jose is officially known as the City of San José.
San Jose is the economic center of Silicon Valley.
San Jose is the cultural center of Silicon Valley.
San Jose is the political center of Silicon Valley.
San Jose is the largest city in Northern California.
San Jose's estimated population in 2015 was 1,026,908.
San Jose is the third most populous city in California.
San Jose is more populous than any other city in California except Los Angeles and San Diego.
San Jose is the tenth most populous city in the United States.
San Jose is located in the Santa Clara Valley.
San Jose is on the southern shore of San Francisco Bay.
San Jose covers an area of 179.97 square miles.
San Jose's area is 466.109 square kilometers.",,,,gpt-4-turbo-3-shot,,,,
828,2637,"Inside Man is a film about a bank heist on Wall Street.
Inside Man's plot spans a 24-hour period.
Denzel Washington plays Detective Keith Frazier in Inside Man.
Detective Keith Frazier is a hostage negotiator in Inside Man.
Clive Owen plays Dalton Russell in Inside Man.
Dalton Russell is the mastermind behind the heist in Inside Man.
Jodie Foster plays Madeleine White in Inside Man.
Madeleine White is a Manhattan power broker in Inside Man.
Arthur Case is the founder of the bank in Inside Man.
Christopher Plummer plays Arthur Case in Inside Man.
Inside Man includes a subplot about protecting a safe deposit box.
Inside Man is the fourth film collaboration between Denzel Washington and director Spike Lee.",,,,gpt-4-turbo-3-shot,,,,
829,2843,"The Beatles were an English rock band.
The Beatles formed in Liverpool in 1960.
The Beatles included John Lennon as a member.
The Beatles included Paul McCartney as a member.
The Beatles included George Harrison as a member.
The Beatles included Ringo Starr as a member.
The Beatles are considered highly influential in the rock era.",,,,gpt-4-turbo-3-shot,,,,
830,3189,"Kellogg's owns the brand Froot Loops.
Kellogg's owns the brand Apple Jacks.
Kellogg's owns the brand Corn Flakes.
Kellogg's owns the brand Frosted Flakes.
Kellogg's owns the brand Rice Krispies.
Kellogg's owns the brand Special K.
Kellogg's owns the brand Cocoa Krispies.
Kellogg's owns the brand Keebler.
Kellogg's owns the brand Pringles.
Kellogg's owns the brand Pop-Tarts.
Kellogg's owns the brand Kashi.
Kellogg's owns the brand Cheez-It.
Kellogg's owns the brand Eggo.
Kellogg's owns the brand Nutri-Grain.
Kellogg's owns the brand Morningstar Farms.
Kellogg's products are manufactured in 18 countries.
Kellogg's products are marketed in over 180 countries.
Kellogg's largest factory is in Trafford Park, Trafford, Greater Manchester, United Kingdom.
Kellogg's European headquarters is located in Trafford Park, Trafford, Greater Manchester, United Kingdom.
Kellogg's stated purpose is to nourish families so they can flourish and thrive.",,,,gpt-4-turbo-3-shot,,,,
831,2103,"Frank Sinatra released an album called Sinatra at the Sands.
Sinatra at the Sands was recorded at the Sands Hotel and Casino in Vegas.
Frank Sinatra collaborated with Count Basie in early 1966.
Frank Sinatra recorded an album with Tom Jobim in 1967.
The album with Tom Jobim is called Francis Albert Sinatra & Antonio Carlos Jobim.
Frank Sinatra collaborated with Duke Ellington in 1968.
Frank Sinatra retired in 1971.
Frank Sinatra came out of retirement in 1973.
Frank Sinatra recorded several albums after coming out of retirement.
Frank Sinatra resumed performing at Caesars Palace after coming out of retirement.
Frank Sinatra achieved success with the song 'New York, New York' in 1980.",00000100000,011,00000000000,gpt-4-turbo-3-shot,356,00000100000,011,356
832,5841,"Jon Snow is a character from the Watch.
Jon Snow faces consequences due to animosity from the Watch.
Kit Harington portrays Jon Snow on HBO's Game of Thrones.
Jon Snow's storyline in the TV series follows the novel series' plot arc.
Game of Thrones Season 6 continues from the events of the latest published installment of Martin's novels.",,,,gpt-4-turbo-3-shot,,,,
833,1984,"Scholars and academics have discussed Cher's ability to re-invent herself.
Cher remained fresh and contemporary amidst teen pop-based music.
The song 'Believe' restored Cher's popularity.
The song 'Believe' cemented Cher's position as a pop culture icon.",,,,gpt-4-turbo-3-shot,,,,
834,949,"Indiana Jones is featured in the Disney theme park attraction Indiana Jones Adventure.
Indiana Jones Adventure is located at Disneyland and Tokyo DisneySea.
Indiana Jones is featured in the Disneyland Paris attraction Indiana Jones et le Temple du Péril.
Harrison Ford has played Indiana Jones.
River Phoenix portrayed the young Indiana Jones in The Last Crusade.
Corey Carrier played Indiana Jones in The Young Indiana Jones Chronicles.
Sean Patrick Flanery played Indiana Jones in The Young Indiana Jones Chronicles.
George Hall played Indiana Jones in The Young Indiana Jones Chronicles.
Doug Lee provided the voice for Indiana Jones in two LucasArts video games.
The video games Doug Lee voiced Indiana Jones in are Indiana Jones and the Fate of Atlantis and Indiana Jones and the Infernal Machine.
David Esch provided the voice for Indiana Jones in the video game Indiana Jones and the Emperor's Tomb.
John Armstrong provided the voice for Indiana Jones in the video game Indiana Jones and the Staff of Kings.",,,,gpt-4-turbo-3-shot,,,,
835,5343,"Thomas Jefferson was knowledgeable in linguistics.
Thomas Jefferson spoke several languages.
Thomas Jefferson founded the University of Virginia.
Thomas Jefferson retired from public office.
Thomas Jefferson was a prolific letter writer.
Thomas Jefferson corresponded with prominent and important people during his adult life.",,,,gpt-4-turbo-3-shot,,,,
836,5157,"Thatcherism is associated with Margaret Thatcher.
Margaret Thatcher led the British Conservative Party from 1975 to 1990.
Thatcherism includes conviction politics.
Thatcherism includes economic policies.
Thatcherism includes social policies.
Thatcherism includes a political style.
Margaret Thatcher was Prime Minister of the UK from 1979 to 1990.
Thatcherism influenced the governments of John Major, Tony Blair, and David Cameron.
A supporter of Thatcherism is called a Thatcherite.",,,,gpt-4-turbo-3-shot,,,,
837,2922,"Frank Sinatra retired in 1971.
Frank Sinatra came out of retirement in 1973.
Frank Sinatra recorded several albums after coming out of retirement.
Frank Sinatra resumed performing at Caesars Palace after coming out of retirement.
Frank Sinatra achieved success with 'New York, New York' in 1980.
Frank Sinatra used his Las Vegas shows as a home base for touring.
Frank Sinatra toured within the United States.
Frank Sinatra toured internationally.
Frank Sinatra toured until shortly before his death in 1998.
Frank Sinatra had a successful career as a film actor.",,,,gpt-4-turbo-3-shot,,,,
838,2571,"Ecuador was colonized by Spain in the 16th century.
Ecuador achieved independence in 1820.
Ecuador was initially part of Gran Colombia.
Ecuador became a sovereign state in 1830.
Ecuador has a diverse population.
Ecuador has a population of 15.2 million people.
The majority of Ecuador's population are mestizos.
Ecuador has minorities of European descendants.
Ecuador has minorities of Amerindian descendants.
Ecuador has minorities of African descendants.
Spanish is the official language of Ecuador.
The majority of the population in Ecuador speaks Spanish.
Ecuador recognizes 13 Amerindian languages.
Quichua is a recognized Amerindian language in Ecuador.
Shuar is a recognized Amerindian language in Ecuador.",000011100000000,11101,000000000000000,gpt-4-turbo-3-shot,356,"000011100000000,000011000000000","11101,10101","356,360"
839,3884,"Walt Disney took art classes as a boy.
Walt Disney became a commercial illustrator at the age of 18.
Walt Disney moved to California in the early 1920s.
Walt Disney set up the Disney Brothers Studio with his brother Roy.
Walt Disney developed the character Mickey Mouse in 1928.
Mickey Mouse was Walt Disney's first highly popular success.
Walt Disney provided the voice for Mickey Mouse in the early years.",,,,gpt-4-turbo-3-shot,,,,
840,3793,"Luxembourg had a population of 576,249 in 2016.
Luxembourg is one of the least-populous countries in Europe.
Luxembourg had the highest population growth rate in Europe as of 2016.
Luxembourg is a representative democracy.
Luxembourg has a constitutional monarch.
Henri is the Grand Duke of Luxembourg.
Luxembourg is the world's only remaining grand duchy.
Luxembourg is a developed country.
Luxembourg has an advanced economy.
Luxembourg had the world's highest GDP (PPP) per capita in 2014.
The United Nations reported Luxembourg's GDP (PPP) per capita in 2014.",,,,gpt-4-turbo-3-shot,,,,
841,1674,"Kris Jenner has been married twice.
Kris Jenner's first husband was Robert Kardashian.
Kris Jenner's second husband was Bruce Jenner, now known as Caitlyn.
Kris Jenner has four children with Robert Kardashian.
Kris Jenner's children with Robert Kardashian are Kourtney, Kim, Khloé, and Robert.
Kris Jenner has two children with Bruce Jenner.
Kris Jenner's children with Bruce Jenner are Kendall and Kylie.",,,,gpt-4-turbo-3-shot,,,,
842,4461,"Faheem Rashad Najm was born on September 30, 1985.
T-Pain is a stage name.
T-Pain is an American rapper.
T-Pain is a singer.
T-Pain is a songwriter.
T-Pain is a record producer.
T-Pain is from Tallahassee, Florida.
T-Pain's debut album is Rappa Ternt Sanga.
Rappa Ternt Sanga was released in 2005.
T-Pain released his second album Epiphany in 2007.
Epiphany reached number one on the US Billboard 200 chart.",,,,gpt-4-turbo-3-shot,,,,
843,5001,"FC Barcelona has won 24 La Liga trophies.
FC Barcelona has won 29 Copa del Rey trophies.
FC Barcelona has won 12 Supercopa de España trophies.
FC Barcelona has won 3 Copa Eva Duarte trophies.
FC Barcelona has won 2 Copa de la Liga trophies.
FC Barcelona holds the record for most Supercopa de España wins.
FC Barcelona holds the record for most Copa Eva Duarte wins.
FC Barcelona holds the record for most Copa de la Liga wins.
FC Barcelona has won 4 UEFA Champions League titles.
FC Barcelona has won 1 European Cup.
FC Barcelona has won a record 4 UEFA Cup Winners' Cup.
FC Barcelona has won a shared record 5 UEFA Super Cup.
FC Barcelona has won a record 3 Inter-Cities Fairs Cup.
FC Barcelona has won a record 3 FIFA Club World Cup.
FC Barcelona has won a total of 20 European and World titles.
FC Barcelona was ranked first in the IFFHS Club World Ranking in 1997.
FC Barcelona was ranked first in the IFFHS Club World Ranking in 2009.
FC Barcelona was ranked first in the IFFHS Club World Ranking in 2011.
FC Barcelona was ranked first in the IFFHS Club World Ranking in 2012.
FC Barcelona was ranked first in the IFFHS Club World Ranking in 2015.
FC Barcelona currently occupies the third position on the UEFA club rankings.",,,,gpt-4-turbo-3-shot,,,,
844,5076,"Top of the Lake is a television series.
Jane Campion created Top of the Lake.
Top of the Lake was Jane Campion's first television work since 1990.
Top of the Lake features a character named Detective Robin Griffin.
Elisabeth Moss plays Detective Robin Griffin in Top of the Lake.
Season 1 of Top of the Lake involves a missing pregnant 12-year-old girl.
The missing girl in Top of the Lake Season 1 is in New Zealand.
Season 2 of Top of the Lake is set four years after Season 1.
Season 2 of Top of the Lake is set in Sydney.
Top of the Lake Season 2 involves the investigation of an unidentified Asian girl's death.
The unidentified Asian girl in Top of the Lake Season 2 was found at Bondi Beach.",,,,gpt-4-turbo-3-shot,,,,
845,924,"Pamela Anderson was born on July 1, 1967.
Pamela Anderson is a Canadian American actress.
Pamela Anderson is a model.
Pamela Anderson appeared on the television series Home Improvement.
Pamela Anderson appeared on the television series Baywatch.
Pamela Anderson appeared on the television series V.I.P.
Pamela Anderson was Playmate of the Month for Playboy magazine in February 1990.",,,,gpt-4-turbo-3-shot,,,,
846,1441,"Honey to the B is an album by Billie Piper.
Honey to the B was released in 1998.
Billie Piper is a pop singer.
Billie Piper was known only by her first name at the time of the album's release.
Billie Piper's first single entered the UK pop charts at number one.
Billie Piper was the youngest British female artist to have a first single enter at number one on the UK pop charts.",100000,1000,000000,gpt-4-turbo-3-shot,356,100000,1000,356
847,3052,"Angela Lansbury's career has spanned seven decades.
Angela Lansbury has worked primarily in the United States.
Angela Lansbury's work has received international attention.
Angela Lansbury was born to an upper-middle-class family.
Angela Lansbury was born in central London.
Angela Lansbury's mother is actress Moyna Macgill.
Angela Lansbury's father is politician Edgar Lansbury.
Angela Lansbury moved to the United States in 1940.
Angela Lansbury relocated to escape the Blitz.
Angela Lansbury has two younger brothers.
Angela Lansbury studied acting in New York City.",,,,gpt-4-turbo-3-shot,,,,
848,493,"People with Hungarian ancestry live in the United States.
People with Hungarian ancestry live in Canada.
People with Hungarian ancestry live in Germany.
People with Hungarian ancestry live in France.
People with Hungarian ancestry live in the United Kingdom.
People with Hungarian ancestry live in Brazil.
People with Hungarian ancestry live in Australia.
People with Hungarian ancestry live in Argentina.
Hungarians can be classified into several subgroups.
The Székelys are a subgroup of Hungarians.
The Csángós are a subgroup of Hungarians.
The Palóc are a subgroup of Hungarians.
The Jász people are a subgroup of Hungarians.
Hungarian subgroups have distinct identities.",,,,gpt-4-turbo-3-shot,,,,
